0 1 499
0.1 1.04071 498.959
0.2 1.08307 498.917
0.3 1.12716 498.873
0.4 1.17303 498.827
0.5 1.22076 498.779
0.6 1.27043 498.73
0.7 1.32211 498.678
0.8 1.37589 498.624
0.9 1.43185 498.568
1 1.49007 498.51
1.1 1.55065 498.449
1.2 1.61369 498.386
1.3 1.67928 498.321
1.4 1.74752 498.252
1.5 1.81852 498.181
1.6 1.8924 498.108
1.7 1.96926 498.031
1.8 2.04922 497.951
1.9 2.13242 497.868
2 2.21897 497.781
2.1 2.30902 497.691
2.2 2.4027 497.597
2.3 2.50015 497.5
2.4 2.60154 497.398
2.5 2.707 497.293
2.6 2.81672 497.183
2.7 2.93084 497.069
2.8 3.04955 496.95
2.9 3.17304 496.827
3 3.30148 496.699
3.1 3.43507 496.565
3.2 3.57403 496.426
3.3 3.71855 496.281
3.4 3.86886 496.131
3.5 4.02518 495.975
3.6 4.18775 495.812
3.7 4.35682 495.643
3.8 4.53263 495.467
3.9 4.71545 495.285
4 4.90556 495.094
4.1 5.10323 494.897
4.2 5.30876 494.691
4.3 5.52245 494.478
4.4 5.74461 494.255
4.5 5.97558 494.024
4.6 6.21569 493.784
4.7 6.46529 493.535
4.8 6.72474 493.275
4.9 6.99441 493.006
5 7.2747 492.725
5.1 7.56601 492.434
5.2 7.86874 492.131
5.3 8.18334 491.817
5.4 8.51024 491.49
5.5 8.84991 491.15
5.6 9.20281 490.797
5.7 9.56945 490.431
5.8 9.95031 490.05
5.9 10.3459 489.654
6 10.7569 489.243
6.1 11.1836 488.816
6.2 11.6268 488.373
6.3 12.087 487.913
6.4 12.5649 487.435
6.5 13.061 486.939
6.6 13.576 486.424
6.7 14.1105 485.889
6.8 14.6653 485.335
6.9 15.2411 484.759
7 15.8385 484.161
7.1 16.4584 483.542
7.2 17.1014 482.899
7.3 17.7684 482.232
7.4 18.4601 481.54
7.5 19.1775 480.823
7.6 19.9212 480.079
7.7 20.6922 479.308
7.8 21.4914 478.509
7.9 22.3196 477.68
8 23.1778 476.822
8.1 24.0669 475.933
8.2 24.9878 475.012
8.3 25.9415 474.059
8.4 26.929 473.071
8.5 27.9513 472.049
8.6 29.0093 470.991
8.7 30.1042 469.896
8.8 31.2369 468.763
8.9 32.4085 467.591
9 33.6201 466.38
9.1 34.8726 465.127
9.2 36.1672 463.833
9.3 37.5049 462.495
9.4 38.8868 461.113
9.5 40.314 459.686
9.6 41.7874 458.213
9.7 43.3082 456.692
9.8 44.8775 455.123
9.9 46.4962 453.504
10 48.1653 451.835
10.1 49.8859 450.114
10.2 51.6589 448.341
10.3 53.4853 446.515
10.4 55.3661 444.634
10.5 57.302 442.698
10.6 59.2939 440.706
10.7 61.3427 438.657
10.8 63.4491 436.551
